"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s foi adicionado à sua lista de desejos. Clique <a href=""%2$s"">aqui</a>, para continuar compras."
"%1$s has been updated in your wishlist.","%1$s foi atualizado nos seus favoritos."
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foram adicionados ao carrinho de compras: %s."
"%s for ""%s"".","%s por ""%s""."
"%s has been moved to wishlist %s","%s foi movido para os favoritos"
"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"%s's Wishlist","Favoritos de %s"
"* Required Fields","* Campos obrigatórios"
"Helper for wishlist options rendering doesn't implement required interface.","O helper para as opções dos favoritos não implementa a interface obrigatória."
"In stock","Disponível"
"Last Added Items","Últimos itens adicionados"
"Message","Mensagem"
"My Wishlist","Os meus favoritos"
"My Wishlist (%d item)","Os meus favoritos (%d item)"
"My Wishlist (%d items)","Os meus favoritos (%d itens)"
"My Wishlist <small>(%d)</small>","Os meus favoritos <small>(%d)</small>"
"My Wishlist Link","A minha ligação dos favoritos"
"Options Details","Detalhes de opções"
"Out of stock","Indisponível"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor insira endereços de email válidos separados por vírgulas. Ex: eu@exemplo.pt, tu@exemplo.pt"
"Please input a valid email address.","Por favor insira um endereço de email válido."
"Please, enter your comments...","Por favor insira o seus comentários"
"Price","Preço"
"Product","Produto"
"Product Details and Comment","Detalhes e comentários do produto"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto (s) %s ter exigido opções. Apenas cada um deles pode ser adicionado separadamente para carrinho."
"Product(s) %s have required options. Each product can only be added individually.","Produto (s) %s ter exigido opções. Cada produto só podem ser adicionados individualmente."
"Qty","Qtd"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Ligação RSS para os favoritos de %s"
"Remove Item","Remover item"
"Remove This Item","Remover este item"
"Remove item","Remover Item"
"Requested cart item doesn't exist","O item do carrinho pedido não existe"
"Requested wishlist doesn't exist","Favoritos pedidos não existem"
"SKU","SKU"
"Share Options","Opções de partilha"
"Share Wishlist","Partilhar favoritos"
"Share Your Wishlist","Partilhar os seus favoritos"
"Sharing Information","Informação de partilha"
"This Wishlist has no Items","Favoritos sem itens"
"This product(s) is currently out of stock","Este produto(s) está atualmente indisponível"
"Unable to add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produtos ao carrinho de compras: %s."
"Update Wishlist","Atualizar favoritos"
"User Description","Descrição utilizador"
"User description","Descrição utilizador"
"View Details","Ver detalhes"
"View Product","Ver produto"
"What's this?","O que é isto?"
"Wishlist","Favoritos"
"Wishlist Section","Secção favoritos"
"Wishlist Sharing","Partilha favoritos"
"Wishlist could not be created.","Favoritos não podem ser criados."
"Wishlist is empty now.","Favoritos vazios"
"You have no items in your wishlist.","Não tem itens nos seus avoritos"
"Your Wishlist has been shared.","Os seus favoritos foram partilhados"
