"The order was not captured. Amazon Simple Pay service error: [%s] %s","O pedido não foi criado. Erro no serviço Amazon Simple Pay: [%s] %s"
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.","O pagamento foi recebido on-line com o serviço Amazon Simple Pay. A fatura foi criada. Aguardando confirmação do recebimento do serviço de pagamento."
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.","O pagamento foi devolvido on-line com o serviço Amazon Simple Pay. A nota de crédito foi criada. Aguardando confirmação do reembolso do serviço Amazon Simple Pay."
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.","O pagamento foi reembolsado on-line. Aguardando pela confirmação do reembolso do serviço Amazon Simple Pay."
"The request is not a valid IPN request.","Este não é um pedido IPN válido."
"The request was signed incorrectly or the signature is missing.","O pedido foi assinado incorretamente ou não tem assinatura."
"Title","Título"
"Use Callback API","Use Callback API"
"You will be redirected to Checkout by Amazon in a few seconds.","Você será redirecionado para o Checkout pela Amazon em alguns segundos."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você irá receber um e-mail de confirmação de pedido com detalhes de seu pedido e um link para acompanhar o progresso."
"You will receive an order confirmation email with details of your order and a link to track its progress.<br/>","Você receberá um e-mail de confirmação de pedido com detalhes do seu pedido e um link para acompanhar seu progresso.<br/>"
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Seu endereço de cobrança será ignorado e você será redirecionado para o Checkout pelo site da Amazon."
"Your order has been received.","Seu pedido foi recebido."
